county,state,population,latitude,longitude
Saginaw,MI,189821,43.3350,-84.0532
Beaufort,SC,189071,32.3856,-80.7306
Santa Rosa,FL,188994,30.7004,-87.0219
Iredell,NC,187839,35.8071,-80.8734
Tippecanoe,IN,186955,40.3886,-86.8941
Cass,ND,186328,46.9330,-97.2480
DeSoto,MS,186214,34.8753,-89.9912
Newport News,VA,185118,37.1049,-76.5181
Boone,MO,184043,38.9906,-92.3097
Washington,UT,183297,37.2804,-113.5048
Johnson,TX,182690,32.3790,-97.3665
Kent,DE,182400,39.0860,-75.5686
Medina,OH,182347,41.1176,-81.8997
Ulster,NY,182153,41.8881,-74.2585
Shasta,CA,181852,40.7637,-122.0405
Peoria,IL,181186,40.7880,-89.7600
Bay,FL,181055,30.2652,-85.6203
Vanderburgh,IN,179900,38.0249,-87.5859
Kanawha,WV,179895,38.3365,-81.5281
Imperial,CA,179578,33.0395,-115.3654
Licking,OH,178844,40.0916,-82.4831
Shawnee,KS,178625,39.0415,-95.7565
Muskegon,MI,175947,43.2912,-86.1520
Hendricks,IN,175639,39.7695,-86.5100
Lower Connecticut River Valley,CT,175244,41.4500,-72.5073
Lee,AL,175126,32.6011,-85.3555
Scott,IA,174315,41.6371,-90.6232
Guadalupe,TX,173828,29.5831,-97.9486
Kootenai,ID,173396,47.6744,-116.7018
Porter,IN,173355,41.4603,-87.0672
Carroll,MD,173225,39.5629,-77.0225
Alamance,NC,171779,36.0437,-79.3995
McLean,IL,171284,40.4909,-88.8473
Winnebago,WI,171197,44.0689,-88.6447
Pitt,NC,171196,35.5933,-77.3745
Kent,RI,170168,41.6722,-71.5932
Paulding,GA,169898,33.9206,-84.8673
Aiken,SC,169865,33.5443,-81.6347
Davidson,NC,169498,35.7933,-80.2128
Midland,TX,169393,31.8691,-102.0316
Kenton,KY,169066,38.9334,-84.5333
Kenosha,WI,168693,42.5769,-88.0424
Chittenden,VT,168309,44.4611,-73.0813
Pueblo,CO,168135,38.1735,-104.5127
Monroe,PA,168128,41.0581,-75.3395
Wyandotte,KS,167989,39.1146,-94.7646
Beaver,PA,167629,40.6823,-80.3493
Greene,OH,167567,39.6915,-83.8899
Charles,MD,167035,38.5073,-76.9922
Yellowstone,MT,165524,45.9373,-108.2744
Comal,TX,165201,29.8082,-98.2783
Maui,HI,164765,20.8596,-156.5650
Houston,GA,164117,32.4590,-83.6662
Rock,WI,163817,42.6712,-89.0716
Olmsted,MN,162307,44.0038,-92.4018
Ector,TX,162300,31.8692,-102.5429
Dorchester,SC,162139,33.0793,-80.4067
Johnson,IN,161952,39.4900,-86.1016
Portage,OH,161217,41.1677,-81.1974
Catawba,NC,161011,35.6620,-81.2151
Indian River,FL,160986,27.6943,-80.6064
Rensselaer,NY,160943,42.7111,-73.5097
Jackson,MI,160637,42.2485,-84.4234
St. Clair,MI,160257,42.9341,-82.6806
Ouachita,LA,159585,32.4784,-92.1549
Schenectady,NY,159447,42.8181,-74.0586
Martin,FL,159399,27.0775,-80.4315
Fairfield,OH,159371,39.7516,-82.6306
Sullivan,TN,158722,36.5129,-82.3042
Centre,PA,158665,40.9189,-77.8199
Stearns,MN,158622,45.5521,-94.6130
Stafford,VA,157606,38.4207,-77.4580
Alexandria,VA,157594,38.8185,-77.0861
Madera,CA,157243,37.2180,-119.7627
Rankin,MS,157185,32.2641,-89.9458
Columbia,GA,156921,33.5441,-82.2641
Canadian,OK,156681,35.5424,-97.9824
Bibb,GA,156554,32.8065,-83.6974
Mesa,CO,156131,39.0183,-108.4664
Franklin,PA,156084,39.9274,-77.7213
Citrus,FL,155173,28.8489,-82.4794
Monroe,MI,154823,41.9291,-83.5394
Washington,MD,154645,39.6036,-77.8140
Santa Fe,NM,154481,35.5069,-105.9763
Berrien,MI,153938,41.9547,-86.4123
Hampshire,MA,153931,42.3402,-72.6638
Merrimack,NH,153918,43.2975,-71.6802
Cumberland,NJ,153588,39.3739,-75.1107
Johnson,IA,153360,41.6715,-91.5881
Penobscot,ME,152640,45.4006,-68.6495
Kings,CA,152515,36.0752,-119.8155
Scott,MN,151347,44.6485,-93.5359
Parker,TX,151188,32.7776,-97.8051
Kaufman,TX,149773,32.5993,-96.2878
Sandoval,NM,149460,35.6886,-106.8659
Wilson,TN,149096,36.1547,-86.2973
Coweta,GA,147449,33.3534,-84.7634
Rowan,NC,147067,35.6394,-80.5247
Orange,NC,145919,36.0611,-79.1207
Sussex,NJ,144808,41.1393,-74.6909
Douglas,GA,144735,33.7018,-84.7680
Coconino,AZ,144705,35.8387,-111.7705
