true,prot,deut,trit
3FCD99,C1B58D,CFAEA2,5DC4D3
C573B9,7A8CC9,8A8BB0,BD7D86
828282,838081,8D7D82,83808A
E7805E,A89A68,BE9359,E97A83
145918,584E1B,614A24,2E535A
417D7B,747275,78707F,477A84
8F92DA,7E94DC,7D95D7,809BA7
2E9BC2,838DB8,7C8DC6,179EAA
C1B1E9,A9B6EC,B1B4E7,B8B6C5
F22209,8B7B22,9D7500,F22523
DC785A,9F9264,B38B55,DD737B
F02D7E,767EA4,937B70,EC4144
14DEC5,CCC4B7,D4BFCF,43D8E9
578184,79787F,7F7687,597F89
80C469,C4B263,D8AA71,92B8C6
EA8DD0,9AA8E1,ADA6C7,E395A0
BDF84D,FFE562,FFE0BA,D4E7F9
F7355E,87837B,A07D52,F53E41
CCCDF7,C6CDF8,CFCAF7,C6D0E0
C9E99D,F0DD97,FFD6B1,D6DEEF
5E0DDE,004EA1,00538A,155960
B7BBBB,BCB8B9,CAB3BC,B8B8C6
57942A,94842A,A57D37,6A8994
B0E74D,EFD54A,FFCC83,C4D7E8
C38E0B,AA9616,BF8E12,C9838C
016F75,62636D,626279,0F6E77
C38467,9C916C,AF8B65,C57E88
42E3BF,D4C9B2,DFC3C8,5EDBED
582338,353744,3E3637,572B2D
7B63CF,3670DA,3075C6,647780
F39562,BBAB6A,D3A35E,F78D97
CAC918,DBC21D,F6B72A,D8B9C8
3008BE,003D7D,00406A,004549
DD7F14,A89520,BE8D0D,E1757E
F0CE48,E8CF4A,FFC667,FBBFCE
3E5103,564C09,604812,484C52
0513E5,00468F,004A7A,005053
87253B,4C4B4C,594837,852D2F
2BE57A,DCC76F,F0BE86,66D7E8
85281B,524A29,5D461A,842B2D
37358A,004086,004474,1A494E
9F7A5A,8A805D,9A7B5A,A1747D
F3D72F,F2D633,FFCE85,FFC8D6
3880B8,6678B1,5A7AB9,198791
3C1DDF,004B9A,004F83,00555A
19C250,BAA74A,CE9F5D,57B4C3
F648F5,6192FF,7195E0,E6737B
ED45E9,548CFF,6E8FD5,DE6E75
DA524D,887F5E,9C7946,D95257
D388E5,82A0F7,91A0DC,C796A1
130D4B,001E3D,001F34,002224
8D8E0B,9A8812,AD811C,96838D
CF69FC,6091FF,5E95ED,BB8791
8F4DE0,006DE2,0073C7,746F77
E70CEA,2C7FFF,5384D2,D65E64
A57229,8A7B30,9B752C,A96A72
44F40C,EFD400,FFCB79,7FE2F4
CC07E9,0074F0,2579D0,B75D63
EB03BD,107AFE,737DA8,E04B4F
A93705,6A5E16,785900,A93639
6EEB13,EACF10,FFC560,94D9EB
A99CB3,9C9EB4,A69BB1,A69CA8
05F79D,EAD790,FECFA9,60EAFD
960A5B,3C4D7B,554C52,912729
5F3A16,4C441F,56411B,61393D
53D7D6,C4C2CA,C9BEDE,5CD3E4
450EF0,004EA0,005389,00595E
4812DB,004A97,004E81,005459
A6EFD6,E8DECD,F7D8DC,AEE9FB
C7E0F1,DADAEE,E6D5F4,C6DFF1
DC391C,84762F,966F08,DC393B
B482EC,6B94FB,7297E3,A2939E
52A980,A19778,AD9286,62A1AE
EFADA9,C3BBAF,D8B5A5,F0A9B6
CE633E,8E8149,A17B3A,CF5E65
7D7D7D,7E7B7C,88787D,7E7B84
DB8FB5,9FA3C0,B0A0AE,D7929D
8DADFA,92AAF9,8CABFA,7AB6C5
115BDD,0061CA,0067AD,006F75
3E3BFC,005BBC,0061A1,00686E
72A0DA,899AD6,849ADB,63A6B3
A77C66,8D846A,9D7F65,A87780
CC3091,5570B7,756F83,C5484C
5090BA,7C87B3,7787BC,45939F
94CF62,D2BD5D,E9B46B,A6C1D1
BA7027,908130,A37A27,BD6870
9746DE,006CE0,0072C5,7E6B73
6FC643,C6B040,DCA750,88B8C6
A5F014,F7DA13,FFD393,BFDEF0
DCE326,F6DA28,FFD392,EDD2E2
8EAA7B,ACA077,BC9A7F,96A2AE
F55017,9A892A,AE8100,F64C50
781A05,484014,513C00,781E1F
0DBF08,B9A300,CF9B2D,58B0BE
6500F8,0055AF,005A96,006168
38FBC5,ECDEB6,FAD6D0,83EFFF
48990E,988611,AA7F26,618D98
B4455C,6C6A6D,7D6755,B1494E
CB4BF9,3A83FF,3B88E5,B5767F
226798,516192,446299,006D75
B34706,766916,866300,B34448
