Country,Latitude,Longitude,OOSR_Pre0Primary_Age,OOSR_Primary_Age,OOSR_Lower_Secondary_Age,OOSR_Upper_Secondary_Age,Completion_Rate_Primary,Completion_Rate_Lower_Secondary,Completion_Rate_Upper_Secondary,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,Gender
Bahrain,26.0667,50.5577,28,3,0,6,0,0,0,69,40,0,0,0,39,99,13.99,99.4,50.5,0.71,1
Bangladesh,23.684994,90.356331,0,0,0,36,89,71,27,47,34,44,32,54,57,96,18.18,116.5,20.6,4.19,1
Bangladesh,23.684994,90.356331,0,0,0,41,76,59,32,47,34,44,32,54,57,94,18.18,116.5,20.6,4.19,0
Barbados,13.193887,59.543198,6,1,7,7,99,98,91,0,0,0,0,0,0,0,10.65,99.4,65.4,10.33,0
Barbados,13.193887,59.543198,10,2,3,3,99,98,97,0,0,0,0,0,0,0,10.65,99.4,65.4,10.33,1
Belarus,53.709807,27.953389,4,2,1,4,100,100,94,0,0,0,0,77,71,100,9.9,100.5,87.4,4.59,1
Belarus,53.709807,27.953389,0,1,1,6,100,100,91,0,0,0,0,77,71,100,9.9,100.5,87.4,4.59,0
Belgium,50.503887,4.469936,3,1,1,1,0,0,0,0,0,0,0,79,80,0,10.3,103.9,79.7,5.59,0
Belgium,50.503887,4.469936,2,0,1,2,0,0,0,0,0,0,0,79,80,0,10.3,103.9,79.7,5.59,1
Belize,17.189877,88.49765,16,1,11,35,96,66,51,0,0,0,0,0,0,0,20.79,111.7,24.7,6.41,1
Belize,17.189877,88.49765,18,1,9,38,95,55,48,0,0,0,0,0,0,0,20.79,111.7,24.7,6.41,0
Benin,9.30769,2.315834,16,10,43,66,44,13,5,9,34,23,11,0,0,52,36.22,122.0,12.3,2.23,1
Benin,9.30769,2.315834,15,3,27,46,51,25,12,9,34,23,11,0,0,70,36.22,122.0,12.3,2.23,0
Bhutan,27.514162,90.433601,59,2,6,22,71,38,18,0,0,0,0,56,0,0,17.26,100.1,15.6,2.34,1
Bhutan,27.514162,90.433601,58,5,18,33,67,41,25,0,0,0,0,56,0,0,17.26,100.1,15.6,2.34,0
Bolivia,16.290154,63.588653,9,5,13,22,0,0,0,0,0,0,0,0,0,0,21.75,98.2,0.0,3.5,0
Bolivia,16.290154,63.588653,8,5,14,22,0,0,0,0,0,0,0,0,0,0,21.75,98.2,0.0,3.5,1
Bosnia and Herzegovina,43.915886,17.679076,73,0,0,19,100,97,92,0,0,0,0,46,42,0,8.11,0.0,23.3,18.42,1
Bosnia and Herzegovina,43.915886,17.679076,72,0,0,22,99,97,92,0,0,0,0,46,42,0,8.11,0.0,23.3,18.42,0
Botswana,22.328474,24.684866,78,10,0,0,98,92,66,0,0,0,16,0,0,0,24.82,103.2,24.9,18.19,1
Botswana,22.328474,24.684866,79,12,0,0,95,92,55,0,0,0,16,0,0,0,24.82,103.2,24.9,18.19,0
Brazil,14.235004,51.92528,1,1,3,14,97,89,75,80,71,53,52,50,32,99,13.92,115.4,51.3,12.08,1
Brazil,14.235004,51.92528,0,1,2,16,95,81,65,80,71,53,52,50,32,99,13.92,115.4,51.3,12.08,0
British Virgin Islands,18.420695,64.639968,2,3,7,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
British Virgin Islands,18.420695,64.639968,9,4,8,24,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Brunei,4.535277,114.727669,18,0,0,16,0,0,0,0,0,0,0,48,52,100,14.9,103.2,31.4,9.12,1
Brunei,4.535277,114.727669,17,0,0,19,0,0,0,0,0,0,0,48,52,100,14.9,103.2,31.4,9.12,0
Bulgaria,42.733883,25.48583,20,13,13,14,0,0,0,0,0,95,75,53,56,0,8.9,89.3,71.0,4.34,1
Bulgaria,42.733883,25.48583,19,13,12,10,0,0,0,0,0,95,75,53,56,0,8.9,89.3,71.0,4.34,0
